Time,NO2 corrected (ppm),NO2 (ppm),Ox (ppm),O3 (ppm),PM2.5 (ug-m3),WS (m/s),WD (deg),PRESS (hPa),ITEMP (degC),TEMP (degC),RH (percent)
2019-04-22 23:00:00,0.025,-0.026,0.055,0.043,4.13,0.34,106.7,1012.9,30.0,5.08,54.1
2019-04-23 23:00:00,0.035,-0.012,0.063,0.039,2.57,0.85,225.6,988.0,30.0,7.15,75.6
2019-04-24 23:00:00,0.018,-0.037,0.051,0.046,2.73,1.06,115.4,989.5,30.0,3.66,47.0
2019-04-25 23:00:00,0.012,-0.041,0.044,0.045,1.67,1.59,65.7,1008.2,30.0,-0.91,41.8
2019-04-26 23:00:00,0.014,-0.037,0.043,0.042,2.73,0.96,77.3,1009.7,29.9,-3.64,49.1
2019-04-27 23:00:00,0.014,-0.033,0.042,0.040,4.49,1.11,57.1,1003.9,30.0,-0.59,54.0
2019-04-28 23:00:00,0.022,-0.028,0.051,0.042,5.20,0.33,189.8,1009.1,30.0,2.68,54.0
2019-05-01 23:00:00,0.028,-0.020,0.057,0.041,5.90,0.60,38.1,1001.0,30.0,5.31,64.2
2019-05-02 23:00:00,0.028,-0.022,0.057,0.042,7.15,0.13,144.7,1000.9,30.0,6.37,60.0
2019-05-03 23:00:00,0.024,-0.032,0.056,0.046,4.27,0.96,54.9,992.1,30.0,3.57,60.2
2019-05-04 23:00:00,0.016,-0.036,0.046,0.043,5.34,0.20,224.2,998.7,29.9,-1.36,45.8
2019-05-05 23:00:00,0.010,-0.045,0.042,0.046,4.64,0.63,117.0,1001.6,29.3,-4.40,46.7
2019-05-06 23:00:00,0.012,-0.039,0.041,0.042,5.80,0.32,50.5,1007.6,29.9,-5.13,53.0
2019-05-07 23:00:00,0.015,-0.031,0.043,0.039,6.17,0.56,243.6,1010.2,30.0,-0.41,48.6
2019-05-08 23:00:00,0.018,-0.024,0.042,0.035,9.65,0.53,30.9,1008.9,30.0,3.01,50.0
2019-05-09 23:00:00,0.033,-0.017,0.063,0.042,4.06,0.69,132.3,1002.9,30.0,4.99,72.0
2019-05-11 00:00:00,0.027,-0.023,0.057,0.043,5.31,0.30,265.7,998.5,30.0,9.97,53.1
2019-05-12 00:00:00,0.024,-0.033,0.058,0.048,2.43,1.70,55.6,1004.6,30.0,5.12,47.4
2019-05-13 00:00:00,0.027,-0.023,0.057,0.042,5.98,0.28,216.5,1009.6,30.0,6.84,46.4
2019-05-14 00:00:00,0.041,-0.009,0.071,0.042,6.18,0.76,194.0,1005.4,30.1,12.08,56.2
2019-05-15 00:00:00,0.045,0.005,0.068,0.034,5.99,0.29,183.0,992.4,30.1,16.80,66.9
2019-05-16 00:00:00,0.020,-0.025,0.047,0.038,1.31,0.78,98.0,996.7,30.0,8.98,49.2
2019-05-17 00:00:00,0.019,-0.035,0.050,0.045,0.14,0.89,69.4,1003.9,30.0,4.57,40.3
2019-05-18 00:00:00,0.017,-0.028,0.043,0.038,2.48,0.14,27.6,1007.8,30.0,3.85,45.6
2019-05-19 00:00:00,0.018,-0.023,0.041,0.034,4.53,0.41,68.2,1011.9,30.0,4.64,50.0
2019-05-20 00:00:00,0.024,-0.020,0.050,0.037,6.41,0.29,224.4,1010.7,30.0,8.46,46.8
2019-05-21 00:00:00,0.034,-0.010,0.061,0.038,3.58,0.49,112.2,1001.4,30.0,8.62,66.5
2019-05-22 00:00:00,0.036,-0.014,0.066,0.042,0.75,1.25,69.9,979.0,30.0,7.50,74.9
