Time,NO2 corrected (ppm),NO2 (ppm),Ox (ppm),O3 (ppm),PM2.5 (ug-m3),WS (m/s),WD (deg),PRESS (hPa),ITEMP (degC),TEMP (degC),RH (percent)
2019-04-22 00:00:00,0.002,-0.001,0.009,0.015,1.20,1.19,47.8,1002.9,30.1,15.68,73.9
2019-04-22 12:00:00,0.036,0.030,0.057,0.030,0.87,0.94,45.7,999.9,30.1,20.71,66.2
2019-04-23 00:00:00,0.028,0.022,0.049,0.029,1.27,1.40,52.7,999.2,30.1,18.19,63.3
2019-04-23 12:00:00,0.054,0.047,0.079,0.036,1.14,0.35,170.0,993.9,30.1,27.04,43.6
2019-04-24 00:00:00,0.019,0.014,0.037,0.026,2.22,0.51,80.7,990.3,30.1,18.36,65.1
2019-04-24 12:00:00,0.022,0.016,0.046,0.033,0.84,1.76,63.2,994.1,30.1,19.00,42.9
2019-04-25 00:00:00,0.019,0.012,0.042,0.033,1.35,1.26,56.4,998.2,30.1,13.01,55.2
2019-04-25 12:00:00,0.041,0.033,0.066,0.036,0.83,0.88,209.5,996.6,30.1,23.64,36.7
2019-04-26 00:00:00,0.032,0.026,0.053,0.031,1.20,0.87,180.9,993.7,30.1,15.27,69.1
2019-04-26 12:00:00,0.035,0.028,0.056,0.031,0.43,0.90,182.3,982.6,30.1,16.38,75.3
2019-04-27 00:00:00,0.023,0.016,0.047,0.035,0.29,0.76,102.9,980.0,30.1,12.46,67.7
2019-04-27 12:00:00,0.005,-0.001,0.024,0.029,0.31,1.02,112.5,989.4,30.0,10.83,52.3
2019-04-28 00:00:00,0.000,-0.004,0.011,0.020,1.09,0.11,287.5,998.0,30.0,8.13,69.6
2019-04-28 12:00:00,0.015,0.009,0.035,0.029,1.01,1.02,55.3,1002.8,30.0,9.92,74.9
2019-04-29 00:00:00,-0.007,-0.011,0.000,0.022,1.06,0.63,40.4,1011.7,30.0,7.51,68.5
2019-04-29 12:00:00,0.011,0.002,0.039,0.041,-0.03,0.34,164.9,1009.7,30.1,18.98,31.0
2019-04-30 00:00:00,0.004,-0.002,0.029,0.033,0.67,0.35,192.1,1006.1,30.0,11.00,75.0
2019-04-30 12:00:00,-0.001,-0.007,0.022,0.029,1.15,0.64,43.4,1010.0,30.1,14.89,66.0
2019-05-01 00:00:00,-0.002,-0.005,0.009,0.015,1.69,0.23,59.2,1014.3,30.0,12.09,72.2
2019-05-01 12:00:00,-0.002,-0.009,0.024,0.038,1.56,0.96,163.9,1010.0,30.1,15.10,59.1
2019-05-02 00:00:00,-0.002,-0.007,0.017,0.027,1.02,0.22,189.1,1003.9,30.1,15.87,70.6
2019-05-02 12:00:00,0.001,-0.005,0.022,0.030,1.55,0.64,117.3,1004.4,30.1,23.23,60.0
2019-05-03 00:00:00,0.000,-0.006,0.023,0.032,3.50,1.06,220.9,1004.7,30.1,14.33,72.5
2019-05-03 12:00:00,0.002,-0.004,0.023,0.030,4.49,0.80,223.5,1000.6,30.1,16.56,73.6
2019-05-04 00:00:00,0.000,-0.003,0.011,0.016,2.13,0.53,68.6,996.9,30.1,17.67,75.1
2019-05-04 12:00:00,0.002,-0.004,0.021,0.027,0.87,0.44,56.7,994.4,30.1,25.04,60.8
2019-05-05 00:00:00,0.000,-0.003,0.012,0.017,1.62,0.22,18.8,994.5,30.1,19.37,76.6
2019-05-05 12:00:00,0.001,-0.005,0.022,0.030,0.61,0.21,79.2,995.1,30.1,16.99,73.6
2019-05-06 00:00:00,-0.001,-0.005,0.015,0.023,0.62,0.77,51.3,997.2,30.1,16.07,69.5
2019-05-06 12:00:00,0.002,-0.005,0.026,0.034,0.77,0.68,139.4,1000.6,30.1,24.54,48.7
2019-05-07 00:00:00,0.002,-0.005,0.024,0.032,1.95,0.67,202.0,1004.8,30.1,17.91,67.4
2019-05-07 12:00:00,0.005,-0.002,0.031,0.037,1.60,0.72,257.0,1003.7,30.1,24.14,58.2
2019-05-08 00:00:00,0.000,-0.005,0.019,0.027,1.24,1.33,56.4,1006.9,30.1,16.69,67.6
2019-05-08 12:00:00,0.002,-0.005,0.027,0.036,0.76,0.95,38.3,1007.4,30.1,22.78,38.4
2019-05-09 00:00:00,0.004,-0.003,0.029,0.036,1.46,0.29,118.0,1010.9,30.1,14.58,46.2
2019-05-09 12:00:00,0.002,-0.006,0.033,0.044,1.13,1.37,190.9,1009.0,30.1,17.35,40.8
2019-05-10 00:00:00,0.001,-0.006,0.027,0.037,1.53,1.27,215.1,1004.4,30.1,15.01,65.9
2019-05-10 12:00:00,0.005,-0.001,0.025,0.029,1.85,0.15,197.2,997.7,30.1,22.81,69.7
2019-05-11 00:00:00,0.001,-0.005,0.022,0.030,1.87,1.69,58.3,999.9,30.1,15.68,64.6
2019-05-11 12:00:00,0.001,-0.005,0.024,0.032,0.62,1.33,50.3,1000.2,30.1,21.68,40.0
2019-05-12 00:00:00,0.001,-0.006,0.023,0.032,1.45,0.77,336.4,1000.5,30.0,11.85,69.0
2019-05-12 12:00:00,0.001,-0.007,0.027,0.037,0.67,0.75,4.9,998.3,30.0,8.54,76.3
2019-05-13 00:00:00,0.001,-0.006,0.026,0.035,0.18,0.10,284.8,996.7,30.0,10.61,67.8
2019-05-13 12:00:00,0.001,-0.005,0.021,0.029,0.22,0.14,19.7,994.7,30.0,12.06,71.7
2019-05-14 00:00:00,0.000,-0.005,0.017,0.025,-0.15,0.23,27.2,994.0,30.0,10.70,70.8
2019-05-14 12:00:00,0.000,-0.004,0.017,0.024,0.01,0.44,42.5,993.5,30.1,13.47,66.3
2019-05-15 00:00:00,0.001,-0.004,0.019,0.026,0.20,1.38,59.1,994.3,30.1,12.22,67.8
2019-05-15 12:00:00,0.002,-0.005,0.024,0.032,0.06,0.67,55.6,993.1,30.1,21.55,47.5
2019-05-16 00:00:00,0.001,-0.004,0.018,0.025,0.69,0.89,57.5,994.5,30.1,15.97,68.7
2019-05-16 12:00:00,0.002,-0.005,0.028,0.037,0.81,0.72,57.8,994.5,30.1,23.41,40.2
2019-05-17 00:00:00,0.002,-0.002,0.018,0.023,1.83,0.16,104.8,993.4,30.1,18.21,60.2
2019-05-17 12:00:00,0.005,-0.001,0.025,0.029,2.15,0.21,276.6,991.6,30.1,23.01,65.2
2019-05-18 00:00:00,0.001,-0.005,0.023,0.031,1.56,1.32,56.7,997.4,30.1,16.77,58.4
2019-05-18 12:00:00,0.002,-0.004,0.024,0.030,0.94,0.49,77.4,999.9,30.1,26.65,36.4
2019-05-19 00:00:00,0.005,-0.001,0.025,0.029,2.47,0.44,158.9,1001.8,30.1,20.33,60.7
2019-05-19 12:00:00,0.009,0.001,0.039,0.043,2.97,1.33,193.8,997.6,30.1,30.31,56.0
2019-05-20 00:00:00,0.005,0.000,0.023,0.025,3.06,0.26,157.7,994.4,30.1,25.44,71.7
2019-05-20 12:00:00,0.006,0.000,0.026,0.028,1.44,0.48,268.6,990.8,30.1,28.26,61.0
2019-05-21 00:00:00,0.001,-0.004,0.020,0.027,0.03,1.88,59.7,995.1,30.1,17.93,52.8
2019-05-21 12:00:00,0.002,-0.005,0.026,0.034,0.38,2.01,58.5,998.7,30.1,22.17,37.6
2019-05-22 00:00:00,0.001,-0.005,0.019,0.026,1.11,1.01,42.8,1005.4,30.1,15.30,57.0
2019-05-22 12:00:00,0.002,-0.005,0.025,0.034,0.58,0.88,45.3,1007.0,30.1,24.66,35.8
