Time,NO2 corrected (ppm),NO2 (ppm),Ox (ppm),O3 (ppm),PM2.5 (ug-m3),WS (m/s),WD (deg),PRESS (hPa),ITEMP (degC),TEMP (degC),RH (percent)
2019-04-22 00:00:00,0.045,-0.008,0.076,0.045,1.96,1.34,47.9,987.4,30.0,8.79,72.1
2019-04-22 02:00:00,0.040,-0.010,0.070,0.042,1.52,1.44,19.2,982.8,30.0,7.97,78.0
2019-04-22 04:00:00,0.038,-0.012,0.068,0.043,0.78,1.70,27.7,979.5,30.0,8.11,77.2
2019-04-22 06:00:00,0.036,-0.017,0.067,0.044,0.54,1.90,36.0,978.3,30.0,7.65,76.7
2019-04-22 08:00:00,0.028,-0.019,0.055,0.039,0.96,2.00,49.4,977.8,30.0,6.00,79.7
2019-04-22 10:00:00,0.035,-0.012,0.063,0.040,0.94,1.88,56.5,977.0,30.0,6.87,77.1
2019-04-22 12:00:00,0.039,-0.012,0.068,0.042,0.32,2.25,65.6,976.1,30.0,8.11,71.2
2019-04-22 14:00:00,0.037,-0.012,0.066,0.041,0.13,1.44,124.1,975.6,30.0,9.02,70.5
2019-04-22 16:00:00,0.037,-0.017,0.069,0.045,0.44,2.26,85.8,976.3,30.0,7.91,70.7
2019-04-22 18:00:00,0.037,-0.017,0.069,0.045,1.17,1.66,127.9,977.8,30.0,7.26,74.7
2019-04-22 20:00:00,0.033,-0.019,0.064,0.044,0.19,1.23,193.3,979.1,30.0,7.24,73.9
2019-04-22 22:00:00,0.029,-0.017,0.056,0.038,0.00,1.23,117.2,979.9,30.0,5.09,77.7
2019-04-23 00:00:00,0.023,-0.016,0.045,0.032,-0.01,0.79,80.8,981.3,30.0,2.88,81.3
2019-04-23 02:00:00,0.019,-0.023,0.043,0.035,0.00,0.30,112.9,982.7,30.0,1.72,79.9
2019-04-23 04:00:00,0.022,-0.024,0.050,0.039,0.14,0.29,89.3,984.3,30.0,0.97,78.6
2019-04-23 06:00:00,0.022,-0.028,0.051,0.042,0.40,0.30,64.8,986.5,30.0,1.42,72.3
2019-04-23 08:00:00,0.024,-0.028,0.054,0.043,0.57,0.30,56.2,989.4,30.0,3.44,62.5
2019-04-23 10:00:00,0.027,-0.026,0.058,0.044,0.17,0.30,58.4,991.9,30.0,5.64,56.7
2019-04-23 12:00:00,0.031,-0.023,0.063,0.046,-0.31,1.64,63.2,993.6,30.0,8.93,49.3
2019-04-23 14:00:00,0.027,-0.030,0.061,0.048,-0.85,2.37,59.7,994.7,30.1,11.45,43.1
2019-04-23 16:00:00,0.021,-0.035,0.054,0.047,-1.08,2.13,59.6,996.7,30.1,11.12,38.9
2019-04-23 18:00:00,0.013,-0.045,0.048,0.049,-0.47,1.51,54.8,999.0,30.0,6.56,41.2
2019-04-23 20:00:00,0.018,-0.039,0.052,0.048,1.04,1.03,52.6,1001.3,30.0,3.81,43.7
2019-04-23 22:00:00,0.025,-0.027,0.055,0.043,1.72,0.30,4.9,1002.5,30.0,1.77,52.1
2019-04-24 00:00:00,0.020,-0.021,0.044,0.034,1.91,0.50,309.1,1003.0,30.0,0.16,62.8
2019-04-24 02:00:00,0.016,-0.021,0.038,0.031,3.03,0.57,341.2,1003.8,30.0,-1.29,68.1
2019-04-24 04:00:00,0.014,-0.019,0.034,0.028,3.66,0.39,341.1,1004.5,30.0,-2.10,71.5
2019-04-24 06:00:00,0.016,-0.011,0.032,0.022,4.42,0.55,45.2,1004.8,30.0,-2.27,74.8
2019-04-24 08:00:00,0.013,-0.029,0.038,0.035,2.27,0.85,115.0,1005.1,30.0,5.78,52.1
2019-04-24 10:00:00,0.020,-0.038,0.053,0.048,0.81,1.62,84.9,1004.2,30.1,13.19,30.3
2019-04-24 12:00:00,0.022,-0.039,0.059,0.052,0.34,0.12,175.5,1002.6,30.1,19.58,23.4
2019-04-24 14:00:00,0.021,-0.046,0.061,0.056,-0.40,1.30,259.1,1000.3,30.1,20.24,20.0
2019-04-24 16:00:00,0.019,-0.048,0.059,0.056,-0.36,0.96,253.7,999.0,30.1,19.83,19.5
2019-04-24 18:00:00,0.033,-0.025,0.067,0.049,0.46,0.82,267.6,999.4,30.1,15.56,26.6
2019-04-24 20:00:00,0.031,-0.028,0.065,0.049,1.57,0.61,243.0,1000.3,30.1,14.74,28.0
2019-04-24 22:00:00,0.034,-0.015,0.062,0.041,2.20,0.70,262.2,1000.4,30.1,12.90,37.2
2019-04-25 00:00:00,0.034,-0.003,0.055,0.031,2.81,0.89,258.9,1000.1,30.0,10.02,48.7
2019-04-25 02:00:00,0.022,-0.017,0.045,0.033,3.43,0.79,233.6,999.6,30.0,9.96,48.3
2019-04-25 04:00:00,0.034,-0.016,0.064,0.042,4.07,0.80,228.3,999.5,30.0,10.69,45.3
2019-04-25 06:00:00,0.028,-0.020,0.056,0.040,5.45,0.87,45.0,1000.4,30.0,8.65,51.9
2019-04-25 08:00:00,0.032,-0.021,0.063,0.044,4.72,1.74,51.6,1001.9,30.0,9.10,51.3
2019-04-25 10:00:00,0.022,-0.031,0.054,0.045,1.94,1.93,50.4,1003.0,30.0,9.42,47.4
2019-04-25 12:00:00,0.004,-0.053,0.037,0.048,0.65,2.19,57.5,1003.0,30.1,13.91,27.1
2019-04-25 14:00:00,0.005,-0.052,0.039,0.048,0.37,1.73,46.4,1001.6,30.1,15.28,20.2
2019-04-25 16:00:00,0.000,-0.057,0.033,0.048,0.22,1.47,48.9,1001.2,30.1,13.53,17.4
2019-04-25 18:00:00,0.013,-0.045,0.047,0.049,0.96,1.35,50.3,1001.4,30.0,9.34,20.6
2019-04-25 20:00:00,0.012,-0.044,0.046,0.047,1.38,1.01,55.6,1002.6,30.0,6.49,26.4
2019-04-25 22:00:00,0.035,-0.009,0.061,0.037,3.11,1.11,53.0,1003.1,30.0,2.53,43.4
2019-04-26 00:00:00,0.001,-0.050,0.030,0.043,2.35,1.87,55.7,1004.0,30.0,1.90,36.7
2019-04-26 02:00:00,0.010,-0.045,0.042,0.046,2.07,2.12,51.4,1004.6,30.0,1.16,33.9
2019-04-26 04:00:00,0.012,-0.043,0.045,0.046,1.93,1.53,55.0,1005.2,30.0,0.03,36.2
2019-04-26 06:00:00,0.012,-0.038,0.042,0.042,2.15,1.28,47.5,1006.6,30.0,-0.50,41.4
