Time,NO2 corrected (ppm),NO2 (ppm),Ox (ppm),O3 (ppm),PM2.5 (ug-m3),WS (m/s),WD (deg),PRESS (hPa),ITEMP (degC),TEMP (degC),RH (percent)
2019-05-22 00:00:00,-0.006,-0.008,-0.001,0.012,1.25,0.47,359.3,1003.8,30.1,13.45,78.8
2019-05-22 01:00:00,-0.007,-0.009,-0.003,0.011,1.23,0.55,43.2,1004.1,30.1,13.76,78.0
2019-05-22 02:00:00,-0.007,-0.009,-0.007,0.010,1.58,0.76,45.7,1003.4,30.1,13.73,78.5
2019-05-22 03:00:00,-0.008,-0.010,-0.004,0.012,1.18,0.92,49.8,1002.8,30.0,13.54,79.3
2019-05-22 04:00:00,-0.007,-0.009,-0.007,0.010,1.47,0.97,49.2,1002.6,30.1,12.91,80.8
2019-05-22 05:00:00,-0.007,-0.009,-0.007,0.010,1.03,1.12,44.9,1002.4,30.0,12.79,81.3
2019-05-22 06:00:00,-0.006,-0.009,-0.001,0.012,1.36,1.42,50.4,1002.9,30.1,13.42,80.6
2019-05-22 07:00:00,0.003,0.000,0.013,0.015,1.36,1.31,49.5,1003.3,30.1,15.13,76.6
2019-05-22 08:00:00,0.008,0.004,0.021,0.019,1.45,1.27,51.9,1003.3,30.1,16.75,71.4
2019-05-22 09:00:00,0.016,0.011,0.030,0.021,1.04,1.39,57.0,1002.5,30.1,19.60,64.8
2019-05-22 10:00:00,0.022,0.017,0.039,0.024,0.67,1.73,49.3,1002.1,30.1,20.96,60.6
2019-05-22 11:00:00,0.022,0.017,0.039,0.025,0.74,2.53,46.9,1001.6,30.1,22.08,55.9
2019-05-22 12:00:00,0.031,0.025,0.050,0.028,0.50,2.41,46.0,1000.8,30.1,23.05,52.8
2019-05-22 13:00:00,0.039,0.033,0.061,0.031,0.19,2.23,51.1,1000.0,30.1,23.69,50.5
2019-05-22 14:00:00,0.044,0.037,0.067,0.033,0.22,1.65,57.0,999.4,30.1,23.72,51.2
2019-05-22 15:00:00,0.044,0.038,0.067,0.032,0.41,1.71,53.8,998.8,30.1,22.87,55.5
2019-05-22 16:00:00,0.037,0.031,0.058,0.030,0.86,0.64,29.6,998.8,30.1,23.27,54.9
2019-05-22 17:00:00,0.037,0.031,0.057,0.029,0.89,0.69,38.5,999.7,30.1,21.98,62.7
2019-05-22 18:00:00,0.035,0.029,0.056,0.030,1.37,0.30,290.5,1000.2,30.1,19.37,75.1
2019-05-22 19:00:00,0.026,0.021,0.044,0.026,1.34,0.33,281.1,1000.3,30.1,19.21,76.8
2019-05-22 20:00:00,0.039,0.033,0.061,0.031,1.05,0.30,7.6,1000.4,30.1,18.60,75.8
2019-05-22 21:00:00,0.033,0.027,0.054,0.030,1.15,0.37,52.2,1000.4,30.1,17.76,79.0
2019-05-22 22:00:00,0.033,0.027,0.053,0.029,1.22,0.86,53.3,1000.4,30.1,17.56,79.8
2019-05-22 23:00:00,0.035,0.029,0.055,0.029,1.27,0.89,49.6,1000.2,30.1,17.45,80.1
