Time,NO2 corrected (ppm),NO2 (ppm),Ox (ppm),O3 (ppm),PM2.5 (ug-m3),WS (m/s),WD (deg),PRESS (hPa),ITEMP (degC),TEMP (degC),RH (percent)
2019-05-22 00:00:00,-0.001,-0.006,0.016,0.024,1.14,0.32,237.4,1003.2,30.0,13.95,61.7
2019-05-22 00:10:00,0.002,-0.003,0.018,0.024,1.09,0.17,237.0,1003.3,30.1,13.67,62.5
2019-05-22 00:20:00,0.001,-0.003,0.017,0.023,1.25,0.11,346.0,1003.2,30.0,13.34,62.5
2019-05-22 00:30:00,0.002,-0.003,0.019,0.025,1.18,0.54,287.4,1003.2,30.1,13.11,61.4
2019-05-22 00:40:00,0.001,-0.004,0.018,0.025,1.30,0.45,323.4,1003.1,30.0,12.83,62.4
2019-05-22 00:50:00,0.000,-0.005,0.016,0.024,1.36,0.35,289.6,1003.2,30.0,12.61,63.9
2019-05-22 01:00:00,0.001,-0.003,0.017,0.023,1.31,0.17,233.4,1003.2,30.1,12.40,64.7
2019-05-22 01:10:00,0.004,0.000,0.020,0.023,1.29,0.28,344.0,1003.2,30.0,12.16,65.0
2019-05-22 01:20:00,-0.002,-0.007,0.014,0.023,1.26,0.34,281.9,1003.3,30.1,11.93,65.7
2019-05-22 01:30:00,0.000,-0.004,0.015,0.022,1.47,0.29,313.0,1003.3,30.0,11.69,67.1
2019-05-22 01:40:00,0.001,-0.004,0.016,0.021,1.38,0.19,21.4,1003.3,30.0,11.50,68.0
2019-05-22 01:50:00,-0.002,-0.006,0.014,0.022,1.01,0.43,319.8,1003.4,30.0,11.29,68.3
2019-05-22 02:00:00,-0.001,-0.006,0.014,0.022,1.42,0.21,340.6,1003.4,30.0,11.10,68.6
2019-05-22 02:10:00,-0.001,-0.005,0.014,0.021,1.44,0.08,250.5,1003.5,30.0,10.95,69.8
2019-05-22 02:20:00,0.000,-0.004,0.015,0.021,1.50,0.28,353.1,1003.6,30.0,10.82,69.5
2019-05-22 02:30:00,0.000,-0.004,0.014,0.020,1.41,0.21,21.5,1003.6,30.0,10.62,70.6
2019-05-22 02:40:00,-0.002,-0.006,0.012,0.021,1.30,0.28,14.4,1003.6,30.1,10.40,71.7
2019-05-22 02:50:00,0.000,-0.004,0.015,0.021,1.16,0.25,37.2,1003.8,30.0,10.28,71.5
2019-05-22 03:00:00,0.001,-0.003,0.015,0.021,1.36,0.45,28.7,1003.9,30.0,10.14,71.9
2019-05-22 03:10:00,-0.001,-0.005,0.013,0.021,1.57,0.28,26.2,1003.9,30.0,10.09,72.0
2019-05-22 03:20:00,-0.001,-0.005,0.013,0.020,1.22,0.27,339.0,1003.9,30.0,10.04,72.0
2019-05-22 03:30:00,-0.001,-0.005,0.013,0.020,1.26,0.42,293.7,1003.9,30.0,10.04,71.6
2019-05-22 03:40:00,0.001,-0.003,0.015,0.020,1.52,0.32,315.9,1003.9,30.0,9.93,71.9
2019-05-22 03:50:00,-0.001,-0.005,0.013,0.020,1.41,0.47,280.6,1004.0,30.0,9.89,72.5
2019-05-22 04:00:00,-0.001,-0.005,0.013,0.020,1.40,0.23,307.3,1004.1,30.0,9.89,72.5
2019-05-22 04:10:00,0.000,-0.004,0.015,0.021,1.46,0.58,301.0,1004.1,30.1,9.97,72.0
